hexagram_line_id,position,is_constituting_ruler,is_governing_ruler,change_text,change_interpretation,created_at,updated_at,deleted_at,hexagram_id
2,2,f,f,"Dragon appearing in the field.
It furthers one to see the great man.","A serious and reliable individual with inherent influence emerges, yet without a prominent position. This person displays a focused purpose and unconsciously impacts their surroundings. They are destined to attain significant influence and bring order to the world. Observing such an individual is considered favorable.",2023-06-12 21:32:35.985744+00,2023-06-12 21:32:35.985753+00,,1
6,6,f,f,Arrogant dragon will have cause to repent.,"Excessive ambition leading to isolation results in failure and a subsequent downfall, this line cautions against overreaching one's capabilities.",2023-06-12 21:39:46.281578+00,2023-06-12 21:39:46.281588+00,,1
7,1,f,f,"When there is hoarfrost underfoot,
Solid ice is not far off.","The power of darkness symbolizes death, contrasting with the life-giving power of light. As autumn begins and the first frost appears, the influence of darkness and cold emerges. Subsequently, signs of death gradually multiply, culminating in the arrival of winter's icy grip. Similarly, in life, the process unfolds. Initially inconspicuous signs of decay manifest and progressively intensify until eventual dissolution. Yet, in life, one can take preventive measures by recognizing and addressing the initial signs of decay in a timely manner.",2023-06-12 21:44:05.98663+00,2023-06-12 21:44:05.986639+00,,2
8,2,t,t,"Straight, square, great.
Without purpose,
Yet nothing remains unfurthered.","The symbol of heaven is the circle, while that of earth is the square, representing squareness as a fundamental quality of the earth. The Creative is characterized by movement in a straight line and magnitude. Square objects originate from straight lines, forming solid bodies. Rectangular planes arise from straight lines, and cubic shapes result from rectangular planes in mathematics. The Receptive adapts to the qualities of the Creative, generating a square from a straight line and a cube from a square. It follows the laws of the Creative without adding or subtracting anything. The Receptive does not require a specific purpose or exert effort, yet everything unfolds as it should. Nature's creation is flawless and impartial, embracing all creatures equally. It achieves what is right without manipulation or intentions. When human actions become as natural and evident as those of nature, true wisdom is attained.",2023-06-12 21:47:14.307815+00,2023-06-12 21:47:14.307825+00,,2
9,3,f,f,"Hidden lines.
One is able to remain persevering.
If by chance you are in the service of a king,
Seek not works, but bring to completion.","A humble person can hide their talents, allowing them to develop in peace. They may engage in public life when necessary but remain modest. True wisdom lies in avoiding personal fame and instead focusing on unleashing potential and creating a lasting impact.",2023-06-12 21:50:49.794868+00,2023-06-12 21:50:49.794878+00,,2
10,4,f,f,"A tied-up sack. No blame, no praise.","The dark element reveals itself in motion and conceals in stillness, emphasizing the importance of remaining discreet. This is a perilous time where drawing attention invites powerful adversaries or misunderstood acclaim. Hence, individuals should practice restraint and preserve their privacy, whether in isolation or amidst chaos, allowing them to remain hidden and unknown.",2023-06-12 21:51:27.665033+00,2023-06-12 21:51:27.665043+00,,2
11,5,f,f,A yellow lower garment brings supreme good fortune.,"Yellow, the color of the earth and the middle, represents reliability and authenticity. It symbolizes a reserved and aristocratic nature, as seen in the subtly adorned lower garment. In positions of prominence but lacking independence, success relies on exercising utmost discretion. True refinement and genuineness should not be displayed directly but rather indirectly, emanating as an internal influence.",2023-06-12 21:52:03.48425+00,2023-06-12 21:52:03.48426+00,,2
12,6,f,f,"Dragons fight in the meadow.
Their blood is black and yellow.","The light should prevail over the dark, but if the dark resists and tries to dominate instead of serving, it angers the strong. A battle ensues, resulting in damage to both sides. The heavenly dragon fights the false dragon representing the exaggerated earth principle. Midnight blue symbolizes heaven, while yellow symbolizes earth. When black and yellow blood flow, it indicates that both primal powers are harmed in this unnatural struggle.",2023-06-12 21:53:07.004278+00,2023-06-12 21:53:07.004288+00,,2
26,2,f,f,"Waiting on the sand.
There is some gossip.
The end brings good fortune.","In times of danger near a river bank, disagreements arise and unrest spreads. Blaming one another becomes common. Remaining calm is key to achieving a positive outcome. Silencing slander is possible by refraining from responding with hurtful remarks.",2023-06-13 00:22:09.962818+00,2023-06-13 00:22:09.962833+00,,5
3,3,f,f,"All day long the superior man is creatively active.
At nightfall his mind is still beset with cares.
Danger. No blame.","A person gains influence and fame when others are drawn to them. Their inner strength matches their actions. Despite carrying responsibilities and worries while others rest, they must be cautious now. The risk lies in giving in to popular desires and losing integrity. Ambition has destroyed many great individuals. However, true greatness remains untarnished by temptations. Those who stay attuned to the changing times and requirements wisely avoid pitfalls, preserving their honorable character.",2023-06-12 21:33:56.964274+00,2023-06-16 01:27:45.341676+00,,1
