hexagram_id,chinese_character,wade_giles_romanization,pinyin_romanization,english_translation,hexagram_symbol,image_url,description,judgment_text,judgment_interpretation,image_text,image_interpretation,full_change_text,full_change_interpretation,created_at,updated_at,deleted_at,lower_nuclear_trigram_id,lower_trigram_id,upper_nuclear_trigram_id,upper_trigram_id,binary_value_string
2,坤,k'un,kūn,The Receptive,䷁,visual_i_ching_app/img/hex2.png,"This hexagram represents the yin energy, symbolizing darkness and receptivity. Its attribute is devotion, and its image is the earth. The Receptive complements the Creative and represents nature, space, and the feminine. This complementary relationship extends to various human interactions. There is a hierarchical relationship between the two principles, with the Receptive relying on and being guided by the Creative for positive outcomes. If the Receptive tries to be equal to the Creative, it becomes evil, leading to opposition and conflict.","The Receptive brings about sublime success,
Furthering through the perseverance of a mare.
If the superior man undertakes something and tries to lead,
He goes astray;
But if he follows, he finds guidance.
It is favorable to find friends in the west and south,
To forego friends in the east and north.
Quiet perseverance brings good fortune.","The passage discusses the four fundamental aspects of the Creative and their attribution to the Receptive. The perseverance of the Receptive is defined as that of a mare, symbolizing the earth and its vastness. The mare combines strength, swiftness, gentleness, and devotion. Nature's richness lies in its ability to nourish and bring beauty to all living things. In human affairs, the hexagram indicates the need for action in accordance with the situation, where one acts as an assistant and allows oneself to be guided. The superior person learns from the situation and follows the guidance of fate. Friends and helpers are needed during times of toil and effort. The east symbolizes receiving orders, while the north represents reporting on one's actions. Solitude and objectivity are required during the planning phase, free from biases and distractions.","The earth's condition is receptive devotion.
Thus the superior man who has breadth of character
Carries the outer world.","The concept of unity is reflected in the parallel between heaven and earth. While the doubling of the trigram in the hexagram of heaven signifies time, the doubling in the hexagram of earth symbolizes the earth's ability to support and preserve all living things. The earth, without discrimination, carries both good and evil. Similarly, a superior individual cultivates qualities of breadth, purity, and enduring strength. This enables them to support and tolerate people and circumstances.",Lasting perseverance furthers.,"When the hexagram of the Receptive changes to the Creative due to a series of sixes, it signifies a transformation. By staying committed to righteousness, it acquires the ability to persevere. While there is no immediate progress, there is also no backward movement or regression.",2023-06-09 02:42:00.276361+00,2023-06-16 01:33:59.460181+00,,8,8,8,8,000000
3,屯,chun,zhūn,Difficulty at the Beginning,䷂,visual_i_ching_app/img/hex3.png,"The hexagram zhūn signifies the initial challenge faced in the process of growth, likened to a sprouting blade of grass pushing against an obstacle. It symbolizes the convergence of heaven and earth in the creation of individual beings, marked by difficulties at their first encounter. The lower trigram zhèn represents upward movement and is associated with thunder, while the upper trigram kǎn represents downward movement and is associated with rain. This combination reflects a state of abundant chaos, with thunder and rain filling the air. However, the chaos eventually dissipates. As the danger of the Abysmal descends, the upward movement transcends it. A thunderstorm brings relief and restores harmony, allowing all things to breathe freely once more.","Difficulty at the Beginning works supreme success,
Furthering through perseverance.
Nothing should be undertaken.
It furthers one to appoint helpers.","In times of growth, challenges arise as new opportunities take shape. It's akin to a first birth, where the abundance of emerging possibilities can be overwhelming. Movement is constant, and perseverance can lead to significant success despite the accompanying risks. When embarking on such ventures, everything is still unclear and uncertain, necessitating caution to avoid calamity. Moreover, it's crucial to avoid isolation; one needs allies to navigate the chaos. However, this doesn't imply passive observation. Active involvement, providing inspiration and guidance, is essential for progress.","Clouds and thunder:
The image of Difficulty at the Beginning.
Thus the superior man
Brings order out of confusion.","Clouds and thunder symbolize a structured pattern amidst chaos. Similarly, the wise person must organize and arrange the initial confusion, much like sorting tangled silk threads into skeins. To navigate the vastness of existence, one must possess the ability to both separate and unify.","","",2023-06-09 02:55:02.901952+00,2023-06-19 18:52:35.827463+00,,8,4,7,6,100010
7,師,shih,shī,The Army,䷆,visual_i_ching_app/img/hex7.png,"The hexagram consists of the water trigram (kǎn) and the earth trigram (kūn), symbolizing stored ground water and military strength. This strength lies within the people, invisible during peace but ready for use as power. The trigram attributes are internal danger and external obedience. The second line, a strong nine, controls the hexagram, with the other yielding lines subordinate. Positioned in the middle of one trigram, this line represents an efficient general who maintains army obedience through authority, not the ruler.","The Army. The army needs perseverance
And a strong man.
Good fortune without blame.","An army requires organization and discipline to become a formidable force. However, discipline should not be enforced through coercion. Instead, a strong leader who inspires and captures the hearts of the people is necessary. This leader should have the full trust and responsibility of their ruler during times of war. War is inherently dangerous, causing destruction and devastation. Hence, it should be used as a last resort, akin to a potent but poisonous drug.","In the middle of the earth is water:
The image of The Army.
Thus the superior man increases his masses
By generosity toward the people.","A well-organized army is crucial for effective combat. Similarly, a nation's military strength lies within its population, which mobilizes in times of danger. Peasants transform into soldiers during war and return to their civilian lives afterward. Winning the people's affection through generosity and providing them a peaceful environment fosters a strong and mighty nation. Economic prosperity is essential for military significance. To achieve this, the government must focus on improving the people's economic well-being and governing with compassion. Only when a strong, invisible connection exists between the government and the people, like groundwater shielded by the earth, can a successful war be waged.","","",2023-06-09 03:23:13.554533+00,2023-06-19 18:53:39.438202+00,,4,6,8,8,010000
13,同人,t'ung jên,tóng rén,Fellowship with Men,䷌,visual_i_ching_app/img/hex13.png,"The upper trigram of the hexagram qián represents heaven, while the lower trigram, lí, symbolizes flame. Fire naturally rises towards the heavens, suggesting a sense of fellowship. The second line, with its central position, unites the five strong lines around it. This hexagram serves as a complement to shī, The Army.

In shī, danger lies within and obedience without—a reflection of a warlike army that requires a strong leader among the weak to maintain unity. In contrast, in tóng rén, clarity resides within and strength resides without—a representation of a peaceful alliance of individuals that necessitates one yielding person amidst many resolute individuals.","Fellowship with Men in the open.
Success.
It furthers one to cross the great water.
The perseverance of the superior man furthers.","True fellowship among humans is not built on self-interest but on a universal concern. Lasting fellowship is achieved by pursuing the goals of humanity. Open and inclusive fellowship succeeds in uniting people. With such unity, even challenging tasks like crossing vast waters can be accomplished. However, to establish this kind of fellowship, a determined and enlightened leader is necessary. This leader must possess clear, persuasive, and inspiring objectives, as well as the strength to achieve them. The inner trigram represents clarity, while the outer trigram represents strength.","Heaven together with fire:
The image of Fellowship with Men.
Thus the superior man organizes the clans
And makes distinctions between things.","In understanding the concept of fellowship, it is crucial to recognize the need for organization within diversity. While heaven and fire share a direction of movement, they are inherently distinct. Similarly, the luminaries in the sky serve to systemically divide and arrange time, highlighting the importance of systematic order. In human society and other interconnected elements, true fellowship goes beyond mere mingling and requires organic arrangement. Without organization, chaos ensues. To achieve order within fellowship, a structured approach is necessary.","","",2023-06-09 17:21:43.042967+00,2023-06-19 18:55:27.050139+00,,5,3,1,1,101111
1,乾,ch'ien,qián,The Creative,䷀,visual_i_ching_app/img/hex1.png,"The first hexagram consists of six unbroken lines representing primal power that is light-giving, active, strong, and spiritual. It is characterized by strength and lacks weakness, embodying power and energy. Its symbol is heaven, and its energy is seen as unrestricted motion in time. The hexagram encompasses the power of time and persistence. It has a dual interpretation: in relation to the universe, it signifies the strong and creative action of the Deity, while in relation to the human world, it represents the creative action of wise individuals, rulers, or leaders who awaken and develop the higher nature of others.","The Creative works sublime success,
Furthering through perseverance.","Drawing this oracle signifies that success will come from the depths of the universe, depending on one's perseverance in doing what is right. The attributes are paired and have specific meanings. The word ""sublime"" refers to the generating power of the Creative, which permeates all things. Success is linked to the ability to give form to ideas, represented by the image of clouds and rain. In the human world, these attributes guide the great person towards notable success by understanding cause and effect and completing the necessary steps. Time becomes a means of actualizing potential. Conservation is seen as continuous actualization and differentiation of form. Furthering and persevering are associated with creating harmony and bringing peace and security to the world. The attributes are also connected to the cardinal virtues: love, morals, justice, and wisdom. These speculations formed a bridge between different philosophical systems, leading to intricate number symbolism over time.","The movement of heaven is full of power.
Thus the superior man makes himself strong and untiring.","This hexagram is a result of doubling the trigram qián, which signifies the movement of heaven. Each day is seen as a repetition of the trigram, indicating the concept of time. The continuous movement of heaven reflects an unending duration both within and beyond time. This enduring power is the image of the Creative. The sage learns from this image and strives to develop himself, ensuring his influence persists. He strengthens himself by consciously eliminating anything inferior or degrading. By limiting the scope of his activities, he attains tirelessness and lasting impact.","There appears a flight of dragons without heads.
Good fortune.","When all the lines in the hexagram are nines, it signifies that the entire hexagram is in motion and transforms into the hexagram kūn, known as ""The Receptive,"" representing devotion. The combination of the Creative's strength and the Receptive's gentleness occurs. Strength is symbolized by the dragons in flight, while gentleness is represented by their hidden heads. This indicates that when gentle actions are accompanied by resolute decisions, it leads to favorable outcomes or good fortune.",2023-06-09 02:38:23.639263+00,2023-06-19 18:51:53.703678+00,,1,1,1,1,111111
5,需,hsü,xū,Waiting (Nourishment),䷄,visual_i_ching_app/img/hex5.png,"This hexagram emphasizes the importance of waiting for the right time. Just as rain nourishes all living things, food comes in its own time. We cannot force it to come; we must be patient. The trigrams symbolize strength and danger. Those who are strong wait patiently, while the weak become agitated and lack patience.","Waiting. If you are sincere,
You have light and success.
Perseverance brings good fortune.
It furthers one to cross the great water.",Waiting with inner certainty and perseverance leads to success. Weakness and impatience are futile. Only the strong can face and endure challenges. Truthfulness and courage in facing reality lead to enlightenment and recognition of the path to success. This recognition must be followed by resolute and persistent action. Only those who face their fate boldly can overcome obstacles and make crucial decisions.,"Clouds rise up to heaven:
The image of Waiting.
Thus the superior man eats and drinks,
Is joyous and of good cheer.","Clouds rising in the sky often indicate rain, and in such situations, waiting patiently is the only course of action. This analogy extends to life, where the workings of destiny should not be a cause for concern. Instead of attempting to shape the future prematurely, it is advisable to fortify the body with nourishment and the mind with happiness. We should be prepared for fate's arrival without attempting to force its hand.","","",2023-06-09 03:09:54.555531+00,2023-06-19 18:53:07.890828+00,,2,1,3,6,111010
6,訟,sung,sòng,Conflict,䷅,visual_i_ching_app/img/hex6.png,"The conflict arises when the upper trigram, representing heaven, moves upward, while the lower trigram, symbolizing water, naturally moves downward. This divergence creates a sense of conflict. The Creative is associated with strength, while the Abysmal is associated with danger and guile. When cunning is backed by power, conflict ensues. Another sign of conflict is found in a person who possesses deep cunning internally and unwavering determination outwardly. Such an individual is likely to be quarrelsome.","Conflict. You are sincere
And are being obstructed.
A cautious halt halfway brings good fortune.
Going through to the end brings misfortune.
It furthers one to see the great man.
It does not further one to cross the great water.","Conflict arises when someone believes they are right but encounters opposition. If they are uncertain of their righteousness, opposition leads to cunning or forceful encroachment, not open conflict. When caught in a conflict, the only way out is to be clear-minded and internally strong, always ready to compromise with the opponent. Persisting in a conflict to the bitter end, even when in the right, has negative consequences as it perpetuates enmity. It is crucial to recognize the importance of a great person, an impartial figure with enough authority to resolve the conflict amicably or ensure a just decision. During times of strife, it is best to avoid risky endeavors, symbolized by crossing the great water, as they require unified focus to succeed. Internal conflicts weaken the ability to overcome external dangers.","Heaven and water go their opposite ways:
The image of Conflict.
Thus in all his transactions the superior man
Carefully considers the beginning.","Conflict arises from the opposing tendencies within the two trigrams. Once these tendencies manifest, conflict becomes unavoidable. To prevent it, thorough consideration is necessary from the outset. By precisely defining rights and duties or by aligning the spiritual inclinations of individuals in a group, the root cause of conflict can be preemptively eliminated.","","",2023-06-09 03:19:22.708379+00,2023-06-19 18:53:24.966288+00,,3,6,5,1,010111
10,履,lü,lǚ,Treading [Conduct],䷉,visual_i_ching_app/img/hex10.png,"The hexagram's name signifies proper conduct based on the contrast between high and low. It also implies treading upon something, with the weak treading on the strong. The upward movement of the trigrams indicates this. The Book of Changes doesn't explicitly mention the strong treading on the weak as it is considered self-evident. In this context, the weak standing against the strong is not risky because it occurs in a lighthearted manner and without arrogance. The strong person remains unperturbed and takes it in good spirits.","Treading. Treading upon the tail of the tiger.
It does not bite the man. Success.","In challenging situations, strength and weakness coexist closely. The weaker party may follow and concern the stronger one, but there is no harm done as long as the interaction remains lighthearted and harmless. Applying this concept to human interactions, when dealing with difficult individuals, maintaining proper conduct is crucial. Even with irritable people, one can achieve their objectives by exhibiting courteous behavior and pleasant manners.","Heaven above, the lake below:
The image of Treading.
Thus the superior man discriminates between high and low,
And thereby fortifies the thinking of the people.","The image of ""Heaven above, the lake below"" represents the hexagram of Treading. It symbolizes the concept of discernment and differentiation. The superior individual distinguishes between what is high and what is low, establishing a clear understanding for the benefit of others. By making such distinctions, the superior person strengthens the people's thinking and perception. This implies that a wise leader or individual should have the ability to make informed judgments and differentiate between various aspects, guiding and empowering others through their discernment.","","",2023-06-09 03:36:10.014661+00,2023-06-19 18:54:25.201173+00,,3,2,5,1,110111
11,泰,t'ai,tài,Peace,䷊,visual_i_ching_app/img/hex11.png,"The Receptive and the Creative forces harmoniously meet, with the Receptive above and the Creative below. This alignment brings forth prosperity and growth for all living things. This hexagram is associated with the first month (February-March) when nature prepares for the arrival of spring.","Peace. The small departs,
The great approaches.
Good fortune. Success.","This hexagram represents a harmonious time when heaven and earth unite, bringing peace and blessings to all. Social harmony prevails, with those in power showing kindness to the less fortunate, putting an end to conflicts. The light principle holds a strong influence at the center, while the dark principle remains submissive. This balance ensures that each receives its rightful place. When virtuous individuals hold control, even the negative elements are influenced and transformed. When one's spiritual nature is aligned with heavenly principles, the animalistic tendencies fall into their proper place. The weaker and negative elements are departing, while the stronger and positive elements rise. This brings good fortune and success.","Heaven and earth unite: the image of Peace.
Thus the ruler
Divides and completes the course of heaven and earth,
And so aids the people.","In the harmony of heaven and earth, a ruler must regulate the flow of energy. Time is divided into seasons, aligning with natural phenomena, while infinite space is marked by compass points. This control tames the abundance of nature. However, productivity must also be enhanced by aligning products with the right time and place. This interactive relationship between humans and nature yields rewarding results.","","",2023-06-09 03:39:46.506259+00,2023-06-19 18:54:44.3488+00,,2,1,4,8,111000
9,小畜,hsiao ch'u,xiǎo xù,The Taming Power of the Small,䷈,visual_i_ching_app/img/hex9.png,"This hexagram symbolizes the restraining and taming power of the small or shadowy force. The weak line in the fourth position holds back the five strong lines. The image is that of the wind blowing across the sky, restraining the clouds and making them dense without yet being strong enough to produce rain. The hexagram represents a situation where a strong element is temporarily held in check by a weak element. Success can be achieved only through gentleness.","The Taming Power of the Small
Has success.
Dense clouds, no rain from our western region.","During King Wên's presence in China, the image symbolizes a state where large-scale action is not yet possible. King Wên could only mildly restrain the tyrant Chou Hsin through friendly persuasion, like clouds promising rain that has not yet fallen. Though obstacles remain, there is hope for success. At this stage, preparatory measures and small-scale persuasion are the means to exert influence. Sweeping actions are premature. However, we can still have a limited impact by restraining and subduing. To achieve our goal, we need inner determination and external flexibility and gentleness.","The wind drives across heaven:
The image of The Taming Power of the Small.
Thus the superior man
Refines the outward aspect of his nature.","Insignificant as the wind's influence may be, it can bring clouds together in the sky. However, lacking substance, it fails to create significant or enduring impacts. Similarly, during periods of limited external influence, an individual can only seek to refine their inherent nature through modest actions.","","",2023-06-09 03:29:18.880961+00,2023-06-19 18:54:08.641451+00,,2,1,3,5,111011
